"","date","mktRF","size","BM"
"131","19900618","2.7325","-5.0699","1.3099"
"132","19900619","-2.0816","-0.4487","0.9722"
"133","19900620","-6.4267","0.1490","-0.3913"
"134","19900621","-0.4256","-4.5579","-0.9183"
"135","19900622","-0.7629","-1.2964","-0.3880"
"136","19900625","2.3431","0.7083","-0.1195"
"137","19900626","-5.0478","0.8833","0.0572"
"138","19900627","-5.3117","-1.0359","0.1805"
"139","19900629","3.5534","-0.6132","1.0821"
"140","19900630","-2.0951","0.0505","-1.6981"
"141","19900703","-2.7113","1.0991","2.6591"
"142","19900704","-4.3264","-0.1130","2.9796"
"143","19900705","-2.7254","1.0736","3.1515"
"144","19900706","3.9879","2.0173","2.1293"
"145","19900707","4.5889","1.2995","-0.9139"
"146","19900709","1.4768","4.0644","-0.6484"
"147","19900710","5.8276","0.5335","-1.0492"
"148","19900711","-6.3867","0.3545","-1.0060"
"149","19900712","-6.6722","0.2222","-0.0511"
"150","19900713","4.6581","-1.5567","-2.2392"
"151","19900714","-1.0949","0.0025","-0.8305"
"152","19900716","-2.1004","-0.7622","-0.2700"
"153","19900717","2.3666","2.8088","0.5217"
"154","19900718","-0.8978","1.8504","-0.6719"
"155","19900719","4.8163","1.6247","-0.2823"
"156","19900720","3.4512","0.9819","-0.1019"
"157","19900721","1.9446","2.8272","-0.3573"
"158","19900723","-5.9547","1.6542","0.4845"
"159","19900724","5.7009","-0.0007","-0.4346"
"160","19900725","0.7897","1.8474","-1.1047"
"161","19900726","-1.2108","0.4233","-0.9336"
"162","19900727","2.6407","1.5904","-0.8638"
"163","19900728","0.8245","3.3996","-0.0560"
"164","19900730","2.5919","-0.5188","-4.0772"
"165","19900731","0.0892","-0.9974","-1.4354"
"166","19900801","2.4330","2.3331","-2.3015"
"167","19900802","-5.3551","-0.3935","-0.0106"
"168","19900803","-6.0126","-0.1337","-0.6719"
"169","19900804","0.0549","-5.8693","-1.1379"
"170","19900806","-2.0333","-3.4384","1.3929"
"171","19900807","-6.8289","0.0217","-0.0840"
"172","19900808","-2.6001","-2.9270","0.1689"
"173","19900809","-6.7144","0.0965","-0.0051"
"174","19900810","-3.3106","-1.4514","-0.1851"
"175","19900811","0.5025","1.5386","1.6154"
"176","19900813","-5.7191","2.3043","-1.5505"
"177","19900814","3.7892","3.0589","-0.0938"
"178","19900815","4.9268","1.9044","-1.4852"
"179","19900816","1.7952","2.5326","-0.2973"
"180","19900817","-6.8217","-0.0504","-0.0802"
"181","19900818","-5.2250","-1.1494","-0.6685"
"182","19900820","2.0093","1.3113","-1.5372"
"183","19900821","-6.0032","-0.6050","-0.0252"
"184","19900822","-4.0100","-1.3704","0.8401"
"185","19900823","-5.1154","-1.6936","1.3118"
"186","19900824","-6.0292","-0.8908","1.0440"
"187","19900825","1.2489","-2.7001","5.8094"
"188","19900827","6.7375","-0.0048","0.0737"
"189","19900828","6.7164","0.0106","0.1343"
"190","19900829","-5.6881","0.6425","0.2762"
"191","19900831","6.7281","0.0037","0.1407"
"192","19900901","3.5750","1.9972","0.7477"
"193","19900903","-5.3092","0.8987","0.2088"
"194","19900904","0.7487","1.1449","-1.7701"
"195","19900905","-6.5943","0.1169","0.0955"
"196","19900906","-1.5589","-1.6913","0.5895"
"197","19900910","5.5004","0.6385","1.2756"
"198","19900911","-3.7728","-0.7481","0.7980"
"199","19900912","2.1947","-1.2693","-0.1730"
"200","19900913","2.4260","0.4863","1.4562"
"201","19900914","-1.3155","-1.4694","-0.4993"
"202","19900915","-3.2590","-2.9435","-0.3965"
"203","19900917","1.2166","-3.5844","3.3714"
"204","19900918","-3.1042","-1.2683","-0.4922"
"205","19900919","-3.8172","-2.3729","0.7955"
"206","19900920","-6.4506","-0.2202","0.2507"
"207","19900921","5.3238","0.0433","2.3648"
"208","19900922","-3.2870","-1.9921","1.6557"
"209","19900924","-5.9350","-0.8341","0.7033"
"210","19900925","-3.3730","-2.4001","2.1787"
"211","19900926","-4.0734","-0.6203","0.1249"
"212","19900927","3.8729","0.9237","-1.1329"
"213","19901001","-5.2516","0.1780","-0.4697"
"214","19901002","1.1873","-0.6192","-1.1457"
"215","19901004","1.1418","-0.9290","-0.6985"
"216","19901005","5.3025","1.1298","-0.8539"
"217","19901006","-1.2876","3.1626","-0.6242"
"218","19901008","5.8320","0.5934","-0.0652"
"219","19901009","-4.7505","-1.1214","0.9538"
"220","19901011","-6.0459","-0.3347","0.2695"
"221","19901012","2.1850","-2.8490","-0.5768"
"222","19901013","0.9017","2.0254","-0.3830"
"223","19901015","1.2868","0.1900","-0.2727"
"224","19901016","3.0419","2.1091","-0.1143"
"225","19901017","-0.3073","0.4703","-0.6975"
"226","19901018","4.2328","1.4229","-0.7913"
"227","19901019","0.8691","0.2426","0.1663"
"228","19901020","5.7880","0.5373","0.3548"
"229","19901022","4.0778","1.5259","-0.7897"
"230","19901023","2.5805","-0.2647","1.0253"
"231","19901024","6.6567","-0.0949","0.3464"
"232","19901026","-5.8642","-0.4029","0.5120"
"233","19901027","-6.5923","0.2838","-0.1501"
"234","19901029","6.7150","0.0441","0.0480"
"235","19901030","0.1475","-1.2141","-2.3038"
"236","19901101","-5.5339","0.3002","-0.8020"
"237","19901102","-1.3152","-0.9327","-1.1426"
"238","19901103","6.4008","0.1989","-0.1268"
"239","19901105","6.7087","0.0664","0.0555"
"240","19901106","-2.1919","0.0762","-4.2797"
"241","19901107","6.4134","0.2578","-0.0057"
"242","19901108","-3.8323","-0.1005","-1.0890"
"243","19901109","-2.0612","0.8201","1.4598"
"244","19901110","0.8594","0.7390","-0.1819"
"245","19901113","6.7299","0.0325","0.0487"
"246","19901114","2.4893","1.7637","-3.5851"
"247","19901115","2.8750","1.8027","-0.1749"
"248","19901116","-3.1798","0.9435","-0.9191"
"249","19901117","5.6566","0.7744","-0.5307"
"250","19901119","4.1990","0.9986","-1.1446"
"251","19901120","0.7443","1.5141","-1.0351"
"252","19901121","1.2812","2.7086","-0.0380"
"253","19901122","5.8833","0.7166","-0.2278"
"254","19901123","6.7307","-0.1331","0.1056"
"255","19901124","-2.8619","-0.5217","-0.1534"
"256","19901126","-4.6839","0.8446","0.2965"
"257","19901127","-4.1784","0.5383","-0.3029"
"258","19901128","-5.5091","-0.1343","-1.2663"
"259","19901129","1.7042","0.5310","-0.7883"
"260","19901130","3.8129","2.1107","-0.9109"
"261","19901201","6.7759","-0.0136","0.1115"
"262","19901203","2.3541","2.3502","-0.8683"
"263","19901204","-2.0415","1.9460","-2.0132"
"264","19901205","5.5769","0.9066","-0.9057"
"265","19901206","-5.0010","1.0636","0.0678"
"266","19901207","4.5502","-0.4747","1.3172"
"267","19901208","-5.7435","-0.9943","1.0775"
"268","19901210","-2.4124","-0.8361","1.5049"
"269","19901211","1.3636","2.8097","-1.1624"
"270","19901212","-5.6384","0.0097","-0.4085"
"271","19901213","0.9751","-2.5032","0.0659"
"272","19901214","-1.6836","-2.2239","-0.4940"
"273","19901215","0.2666","-1.6263","-1.5562"
"274","19901217","-4.9540","-0.9286","-0.1726"
"275","19901218","-4.3333","-1.0347","-0.0263"
"276","19901219","-2.3400","-1.9240","1.6928"
"277","19901220","2.5909","0.2915","1.3047"
"278","19901221","1.1427","2.6664","-0.9940"
"279","19901222","4.4078","0.5758","-1.7491"
"280","19901224","-1.8113","-0.9299","-1.6800"
"281","19901226","4.3206","-0.6594","-1.5297"
"282","19901227","5.6850","0.0112","-1.4432"
"283","19910103","-6.0057","0.3470","-0.6052"
"284","19910104","2.4265","0.4214","-1.0679"
"285","19910105","1.9167","2.4975","0.9643"
"286","19910107","-5.8103","0.1019","0.6704"
"287","19910108","-5.0541","-1.0827","0.7280"
"288","19910109","1.7908","-0.6261","0.0038"
"289","19910110","-6.1642","-0.2047","0.3952"
"290","19910111","-3.9666","-2.3932","1.6567"
"291","19910112","-3.0870","-2.7370","2.4161"
"292","19910114","1.4964","-0.4853","1.0295"
"293","19910115","-6.6808","-0.1303","-0.0067"
"294","19910116","-1.1682","-0.9534","1.8944"
"295","19910117","6.6876","-0.0411","0.1188"
"296","19910118","6.7068","-0.0891","0.1282"
"297","19910119","4.4257","2.8372","-2.4108"
"298","19910121","4.0947","3.2862","-1.5607"
"299","19910122","-1.7111","3.6478","-3.0545"
"300","19910123","-5.9851","1.1075","0.1295"
"301","19910124","6.6885","0.0779","0.0779"
"302","19910125","0.4845","1.9818","0.1740"
"303","19910126","-2.2146","-1.3154","-0.1185"
"304","19910128","3.1191","2.9366","0.0523"
"305","19910129","-0.6538","0.0413","1.1069"
"306","19910130","-1.4151","-0.9162","-1.3417"
"307","19910131","-0.9491","0.2064","0.3769"
"308","19910201","-0.5240","-1.3795","0.1726"
"309","19910202","0.5273","-0.6267","-0.1808"
"310","19910204","2.4936","1.7049","0.1096"
"311","19910205","4.5525","1.9853","0.1876"
"312","19910206","-1.5654","0.8399","2.0871"
"313","19910207","3.4054","1.7651","0.1794"
"314","19910208","1.6073","-0.7089","-0.4856"
"315","19910209","1.7862","0.6341","-0.2752"
"316","19910211","4.1358","1.1937","0.7720"
"317","19910219","6.7343","-0.3553","-0.3197"
"318","19910220","-2.3147","1.1256","0.3426"
"319","19910221","4.6426","0.9894","0.8855"
"320","19910222","-5.9506","-0.8594","-0.8639"
"321","19910223","1.5508","-3.5064","-1.7603"
"322","19910225","1.2409","1.5754","0.9339"
"323","19910226","-3.3440","-0.8159","0.0222"
"324","19910227","0.5497","0.4151","0.6288"
"325","19910228","3.3913","-0.3279","-0.3747"
"326","19910301","-1.0053","-0.9626","3.0110"
"327","19910302","-5.8357","-0.8495","1.1926"
"328","19910304","-0.4618","-1.3384","0.5563"
"329","19910305","-2.1932","0.2658","0.3700"
"330","19910306","-1.0119","0.0871","-0.1609"
"331","19910307","2.8931","1.6516","-0.1524"
"332","19910308","-0.9446","0.0962","-1.0000"
"333","19910309","3.2297","0.4541","1.5968"
"334","19910311","1.8854","1.7302","0.8485"
"335","19910312","0.8036","0.7373","0.7110"
"336","19910313","-2.9946","-2.0353","-0.7550"
"337","19910314","1.3526","0.2945","1.9609"
"338","19910315","2.2706","-0.8482","1.7368"
"339","19910316","1.0732","0.6577","0.6517"
"340","19910318","-2.7658","2.4252","2.5523"
"341","19910319","0.2518","0.7639","1.1646"
"342","19910320","-1.5843","-0.8875","0.7230"
"343","19910321","-0.3559","-1.3106","-1.2575"
"344","19910322","0.7262","1.0362","0.9000"
"345","19910323","-1.1164","0.9071","0.9521"
"346","19910325","2.1235","0.1402","4.2295"
"347","19910326","1.2739","0.2855","2.4585"
"348","19910327","1.3552","-0.4036","-2.4785"
"349","19910328","4.0750","-0.1223","4.2534"
"350","19910401","3.4175","0.4549","4.6909"
"351","19910402","-2.1411","-1.8962","-2.7443"
"352","19910403","3.2652","0.5235","0.1817"
"353","19910408","-0.8258","0.2368","-2.3248"
"354","19910409","1.2615","-0.4110","2.0729"
"355","19910410","0.1183","-1.0739","-0.5861"
"356","19910411","1.5622","-0.0352","2.3211"
"357","19910412","2.2850","-1.3696","-2.0741"
"358","19910413","-0.0927","-0.1020","-0.6346"
"359","19910415","1.0208","-0.4461","-5.9100"
"360","19910416","-6.4691","0.3424","0.3332"
"361","19910417","2.6372","-1.4782","1.5788"
"362","19910418","4.2846","0.3004","-0.0150"
"363","19910419","0.4653","-0.0080","-2.7276"
"364","19910420","0.2877","0.1763","0.3977"
"365","19910422","1.3244","-0.3650","-1.2603"
"366","19910423","-1.7153","0.2185","-0.2124"
"367","19910424","1.1746","-0.7749","-1.1526"
"368","19910425","1.7657","-1.3221","-1.2358"
"369","19910426","0.3121","-0.7976","-1.2770"
"370","19910427","0.5661","1.1763","-1.4515"
"371","19910429","-4.5701","0.4306","-0.9796"
"372","19910430","3.5102","0.4146","-0.2351"
